OpenPrice,HighPrice,LowPrice,ClosePrice,Next_ClosePrice
-0.29,-0.29,-2.46,-1.73,-1.62
-2.94,-1.03,-2.94,-1.62,-0.45
-0.15,0.3,-0.75,-0.45,0
0.3,0.75,0,0,-4.95
-2.1,-2.1,-4.95,-4.95,-0.47
-0.47,0,-1.42,-0.47,3.17
1.27,3.49,0.95,3.17,0.77
1.23,1.38,-0.15,0.77,1.53
0.61,1.53,0.46,1.53,-1.35
-0.75,-0.6,-1.95,-1.35,-0.15
-1.98,0,-2.13,-0.15,1.22
0.92,1.53,0.76,1.22,1.06
0.6,1.36,0.45,1.06,0
0.9,0.9,0,0,0
0.6,0.6,-0.15,0,-1.04
-1.04,-0.6,-1.34,-1.04,-2.87
-2.11,-1.51,-2.87,-2.87,1.4
0.16,1.55,0,1.4,-0.31
0.46,0.77,-0.46,-0.31,-0.15
0,0.31,-0.77,-0.15,-1.54
-1.69,-1.08,-1.69,-1.54,0.63
0,1.09,-0.78,0.63,-1.09
-1.55,-0.47,-1.71,-1.09,-0.78
0.16,0.47,-1.1,-0.78,-1.58
-2.53,0.32,-2.53,-1.58,2.09
2.41,2.89,1.61,2.09,0.94
1.42,1.42,-0.16,0.94,0.78
1.4,1.72,0.78,0.78,-2.48
-0.93,-0.77,-2.48,-2.48,-3.02
-2.38,-1.59,-3.02,-3.02,0.49
-1.31,1.15,-1.47,0.49,-1.63
0.65,1.14,-1.63,-1.63,-2.65
-0.99,-0.99,-4.97,-2.65,-1.36
-6.46,0,-7.31,-1.36,-4.66
-1.72,0.34,-5,-4.66,-3.07
-4.16,0,-4.16,-3.07,-2.99
0.56,1.68,-2.99,-2.99,-4.62
-3.08,-2.69,-9.42,-4.62,8.87
4.23,8.87,3.23,8.87,-5.56
-4.81,-2.78,-6.67,-5.56,4.9
5.1,7.45,4.31,4.9,3.55
3.36,4.67,2.43,3.55,1.08
0.9,1.08,-0.54,1.08,-2.5
1.43,2.14,-2.5,-2.5,-2.01
-3.48,-1.47,-3.85,-2.01,2.43
2.06,2.43,0.75,2.43,-0.91
0.91,0.91,-0.91,-0.91,1.47
0.55,1.47,-0.55,1.47,2.72
2.9,3.09,1.81,2.72,0.71
0.71,0.88,0,0.71,-0.7
0.88,1.05,-0.88,-0.7,-1.24
-1.06,-0.35,-1.41,-1.24,-0.36
-0.36,0.72,-0.36,-0.36,2.33
0.9,2.51,0.54,2.33,0.88
0.7,1.23,0.35,0.88,-0.35
-1.57,0.35,-1.57,-0.35,6.98
5.93,7.68,4.89,6.98,-0.82
0.49,0.82,-1.31,-0.82,-2.96
-1.15,-0.82,-3.45,-2.96,-0.34
-0.17,0,-1.53,-0.34,0.51
2.04,2.04,0,0.51,-0.51
0,0.51,-0.51,-0.51,1.36
1.36,1.53,0.68,1.36,-0.5
0.17,0.17,-1.17,-0.5,0.84
0.84,1.69,0.51,0.84,1.84
1,2.01,0.84,1.84,-3.12
-3.28,-2.63,-3.45,-3.12,0.17
0.51,1.02,0,0.17,0.17
-0.34,0.17,-1.02,0.17,0.51
-0.51,1.01,-0.51,0.51,0
0.84,0.84,-0.5,0,1.18
0.84,1.34,0.34,1.18,-1.99
-1.16,-0.83,-1.99,-1.99,0.68
-0.68,0.68,-0.85,0.68,-1.35
-1.35,-0.67,-1.52,-1.35,1.71
1.54,1.88,0.51,1.71,-2.68
-2.35,-1.51,-2.68,-2.68,0.52
1.38,1.38,0.52,0.52,0.86
0.51,0.86,-0.17,0.86,1.19
0.68,1.36,0.34,1.19,-1.85
-1.01,-0.84,-2.18,-1.85,0
-0.51,0.34,-1.2,0,1.2
1.03,1.88,0.51,1.2,0.34
0.51,0.85,0,0.34,-0.84
0.67,0.67,-1.18,-0.84,-0.68
-0.68,-0.51,-1.36,-0.68,1.2
0.68,1.54,0.51,1.2,0.34
0.17,0.68,0.17,0.34,1.52
1.18,1.52,0.51,1.52,1.66
1.33,1.66,1,1.66,1.8
0.82,1.96,0.65,1.8,2.09
1.44,2.41,1.12,2.09,0.31
-0.47,0.31,-1.26,0.31,1.1
0,1.57,-0.31,1.1,-0.62
0.93,1.4,-1.24,-0.62,-1.4
-2.34,-0.94,-2.5,-1.4,-2.06
0,0.47,-2.37,-2.06,1.78
2.42,2.42,1.45,1.78,0
0.48,0.63,-0.48,0,-0.16
-0.16,0,-0.63,-0.16,0
