DataTime,Stock_ID,OpenPrice,HighPrice,LowPrice,ClosePrice
2020/1/15,2330,-0.29,-0.29,-2.46,-1.73
2020/1/16,2330,-2.94,-1.03,-2.94,-1.62
2020/1/17,2330,-0.15,0.3,-0.75,-0.45
2020/1/20,2330,0.3,0.75,0,0
2020/1/30,2330,-2.1,-2.1,-4.95,-4.95
2020/2/3,2330,-0.47,0,-1.42,-0.47
2020/2/4,2330,1.27,3.49,0.95,3.17
2020/2/5,2330,1.23,1.38,-0.15,0.77
2020/2/6,2330,0.61,1.53,0.46,1.53
2020/2/7,2330,-0.75,-0.6,-1.95,-1.35
2020/2/10,2330,-1.98,0,-2.13,-0.15
2020/2/11,2330,0.92,1.53,0.76,1.22
2020/2/12,2330,0.6,1.36,0.45,1.06
2020/2/13,2330,0.9,0.9,0,0
2020/2/14,2330,0.6,0.6,-0.15,0
2020/2/17,2330,-1.04,-0.6,-1.34,-1.04
2020/2/18,2330,-2.11,-1.51,-2.87,-2.87
2020/2/19,2330,0.16,1.55,0,1.4
2020/2/20,2330,0.46,0.77,-0.46,-0.31
2020/2/21,2330,0,0.31,-0.77,-0.15
2020/2/24,2330,-1.69,-1.08,-1.69,-1.54
2020/2/25,2330,0,1.09,-0.78,0.63
2020/2/26,2330,-1.55,-0.47,-1.71,-1.09
2020/2/27,2330,0.16,0.47,-1.1,-0.78
2020/3/2,2330,-2.53,0.32,-2.53,-1.58
2020/3/3,2330,2.41,2.89,1.61,2.09
2020/3/4,2330,1.42,1.42,-0.16,0.94
2020/3/5,2330,1.4,1.72,0.78,0.78
2020/3/6,2330,-0.93,-0.77,-2.48,-2.48
2020/3/9,2330,-2.38,-1.59,-3.02,-3.02
2020/3/10,2330,-1.31,1.15,-1.47,0.49
2020/3/11,2330,0.65,1.14,-1.63,-1.63
2020/3/12,2330,-0.99,-0.99,-4.97,-2.65
2020/3/13,2330,-6.46,0,-7.31,-1.36
2020/3/16,2330,-1.72,0.34,-5,-4.66
2020/3/17,2330,-4.16,0,-4.16,-3.07
2020/3/18,2330,0.56,1.68,-2.99,-2.99
2020/3/19,2330,-3.08,-2.69,-9.42,-4.62
2020/3/20,2330,4.23,8.87,3.23,8.87
2020/3/23,2330,-4.81,-2.78,-6.67,-5.56
2020/3/24,2330,5.1,7.45,4.31,4.9
2020/3/25,2330,3.36,4.67,2.43,3.55
2020/3/26,2330,0.9,1.08,-0.54,1.08
2020/3/27,2330,1.43,2.14,-2.5,-2.5
2020/3/30,2330,-3.48,-1.47,-3.85,-2.01
2020/3/31,2330,2.06,2.43,0.75,2.43
2020/4/1,2330,0.91,0.91,-0.91,-0.91
2020/4/6,2330,0.55,1.47,-0.55,1.47
2020/4/7,2330,2.9,3.09,1.81,2.72
2020/4/8,2330,0.71,0.88,0,0.71
2020/4/9,2330,0.88,1.05,-0.88,-0.7
2020/4/10,2330,-1.06,-0.35,-1.41,-1.24
2020/4/13,2330,-0.36,0.72,-0.36,-0.36
2020/4/14,2330,0.9,2.51,0.54,2.33
2020/4/15,2330,0.7,1.23,0.35,0.88
2020/4/16,2330,-1.57,0.35,-1.57,-0.35
2020/4/17,2330,5.93,7.68,4.89,6.98
2020/4/20,2330,0.49,0.82,-1.31,-0.82
2020/4/21,2330,-1.15,-0.82,-3.45,-2.96
2020/4/22,2330,-0.17,0,-1.53,-0.34
2020/4/23,2330,2.04,2.04,0,0.51
2020/4/24,2330,0,0.51,-0.51,-0.51
2020/4/27,2330,1.36,1.53,0.68,1.36
2020/4/28,2330,0.17,0.17,-1.17,-0.5
2020/4/29,2330,0.84,1.69,0.51,0.84
2020/4/30,2330,1,2.01,0.84,1.84
2020/5/4,2330,-3.28,-2.63,-3.45,-3.12
2020/5/5,2330,0.51,1.02,0,0.17
2020/5/6,2330,-0.34,0.17,-1.02,0.17
2020/5/7,2330,-0.51,1.01,-0.51,0.51
2020/5/8,2330,0.84,0.84,-0.5,0
2020/5/11,2330,0.84,1.34,0.34,1.18
2020/5/12,2330,-1.16,-0.83,-1.99,-1.99
2020/5/13,2330,-0.68,0.68,-0.85,0.68
2020/5/14,2330,-1.35,-0.67,-1.52,-1.35
2020/5/15,2330,1.54,1.88,0.51,1.71
2020/5/18,2330,-2.35,-1.51,-2.68,-2.68
2020/5/19,2330,1.38,1.38,0.52,0.52
2020/5/20,2330,0.51,0.86,-0.17,0.86
2020/5/21,2330,0.68,1.36,0.34,1.19
2020/5/22,2330,-1.01,-0.84,-2.18,-1.85
2020/5/25,2330,-0.51,0.34,-1.2,0
2020/5/26,2330,1.03,1.88,0.51,1.2
2020/5/27,2330,0.51,0.85,0,0.34
2020/5/28,2330,0.67,0.67,-1.18,-0.84
2020/5/29,2330,-0.68,-0.51,-1.36,-0.68
2020/6/1,2330,0.68,1.54,0.51,1.2
2020/6/2,2330,0.17,0.68,0.17,0.34
2020/6/3,2330,1.18,1.52,0.51,1.52
2020/6/4,2330,1.33,1.66,1,1.66
2020/6/5,2330,0.82,1.96,0.65,1.8
2020/6/8,2330,1.44,2.41,1.12,2.09
2020/6/9,2330,-0.47,0.31,-1.26,0.31
2020/6/10,2330,0,1.57,-0.31,1.1
2020/6/11,2330,0.93,1.4,-1.24,-0.62
2020/6/12,2330,-2.34,-0.94,-2.5,-1.4
2020/6/15,2330,0,0.47,-2.37,-2.06
2020/6/16,2330,2.42,2.42,1.45,1.78
2020/6/17,2330,0.48,0.63,-0.48,0
2020/6/18,2330,-0.16,0,-0.63,-0.16
2020/6/19,2330,-0.16,0,-0.79,0
